timestamp,active_power_1,active_power_2,active_power_3,active_power_4,active_power_7,active_power_8
26-Dec-2017 08:59:59,1455.44,1392.97,3358.16,5287.6,5150.97,71989.7
04-Jan-2018 13:13:02,1249.52,1146.19,3370.41,5447.49,147314,81622.1
13-Dec-2017 15:32:11,0,10.4401,3447.27,5793.16,85163.1,2647.62
22-Feb-2018 09:16:01,0,82.3695,3430.09,5363.72,85720.2,90976.2
31-Mar-2018 08:47:45,1015.48,1087.9,3164.98,5068.03,146548,80940.4
04-Jan-2018 09:19:40,1189.02,1062.01,3272.34,5336.18,97626.2767577022,82984.4
16-Jan-2018 16:50:21,0,0.411026,33.7041,0,1.23308,1.02756
12-Jan-2018 23:57:17,0.0822051,0.411026,13.9749,0,1.23308,0.205513
12-Jan-2018 11:21:39,650.078,688.632,3713.29,6421.62,29232.6,38377.5
31-Mar-2018 18:54:49,130.788,631.829,3256.31,6056.55,83863.2,119610
12-Jan-2018 07:45:27,488.134,321.586,33.6219,0,2121.1,3867.34
31-Mar-2018 13:44:08,869.895,942.482,3018.82,5245.43,103139,69215.9
21-Feb-2018 09:06:47,365.895,270.619,3283.11,5812.97,86001,4532.79
12-Jan-2018 21:30:25,0.575436,0.0822051,0.657641,0,0.616539,0
01-Nov-2017 08:37:12,613.086,671.698,3431.65,6116.14,1085.11,61060.7
01-Nov-2017 12:23:19,0,8.46713,3245.71,5776.47,84227,93265.7655147043
27-Mar-2018 08:13:43,0,9.94682,3320.27,5987.33,87459.3,8300.46
21-Feb-2018 06:32:09,0,8.38492,3184.38,5801.13,88529,150020
12-Dec-2017 09:09:01,389.241,330.3,3459.85,6042.16,83856.8,5879.11
23-Dec-2017 18:07:23,438.482,272.674,4646.48,0,87488.2,3014.46
12-Jan-2018 03:52:07,1192.06,1114.37,3180.02,5525.75,119894,84438.6
30-Dec-2017 06:45:24,0,10.029,3292.81,5565.37,82429.6,29525.2
04-Jan-2018 23:33:43,1655.33403180691,282.749857874063,0,0,889866.364433374,572413.629016033
