# Bin Center, Frequency Count, Left Edges, Right Edges
-2.154038278390261894e+03,4.000000000000000000e+00,-2.195206206536439822e+03,-2.112870350244083966e+03
-2.071702422097906037e+03,3.000000000000000000e+00,-2.112870350244083966e+03,-2.030534493951728109e+03
-1.989366565805550181e+03,2.000000000000000000e+00,-2.030534493951728109e+03,-1.948198637659372253e+03
-1.907030709513194324e+03,5.000000000000000000e+00,-1.948198637659372253e+03,-1.865862781367016396e+03
-1.824694853220838468e+03,7.000000000000000000e+00,-1.865862781367016396e+03,-1.783526925074660539e+03
-1.742358996928482611e+03,1.200000000000000000e+01,-1.783526925074660539e+03,-1.701191068782304683e+03
-1.660023140636126755e+03,1.100000000000000000e+01,-1.701191068782304683e+03,-1.618855212489948826e+03
-1.577687284343770898e+03,1.400000000000000000e+01,-1.618855212489948826e+03,-1.536519356197592970e+03
-1.495351428051415041e+03,5.600000000000000000e+02,-1.536519356197592970e+03,-1.454183499905237113e+03
-1.413015571759059185e+03,2.214000000000000000e+03,-1.454183499905237113e+03,-1.371847643612881257e+03
-1.330679715466703328e+03,1.731000000000000000e+03,-1.371847643612881257e+03,-1.289511787320525400e+03
-1.248343859174347472e+03,4.970000000000000000e+02,-1.289511787320525400e+03,-1.207175931028169771e+03
-1.166008002881991843e+03,2.700000000000000000e+01,-1.207175931028169771e+03,-1.124840074735813914e+03
-1.083672146589635986e+03,3.000000000000000000e+00,-1.124840074735813914e+03,-1.042504218443458058e+03
-1.001336290297280129e+03,0.000000000000000000e+00,-1.042504218443458058e+03,-9.601683621511022011e+02
-9.190004340049242728e+02,0.000000000000000000e+00,-9.601683621511022011e+02,-8.778325058587463445e+02
-8.366645777125684162e+02,0.000000000000000000e+00,-8.778325058587463445e+02,-7.954966495663904880e+02
-7.543287214202125597e+02,1.000000000000000000e+00,-7.954966495663904880e+02,-7.131607932740346314e+02
-6.719928651278567031e+02,0.000000000000000000e+00,-7.131607932740346314e+02,-6.308249369816787748e+02
-5.896570088355008465e+02,1.000000000000000000e+00,-6.308249369816787748e+02,-5.484890806893229183e+02
-5.073211525431449900e+02,1.000000000000000000e+00,-5.484890806893229183e+02,-4.661532243969670617e+02
-4.249852962507891334e+02,0.000000000000000000e+00,-4.661532243969670617e+02,-3.838173681046112051e+02
