timestamp,active_power_1,active_power_2,active_power_3,active_power_4,active_power_5,active_power_6,active_power_7,active_power_8
27-Mar-2018 07:48:57,1067.68,1128.1,3229.26,5488.1,53182.6,50680.3,82137.5,82521.4
27-Mar-2018 07:43:46,1058.88,1102.86,3299.71,5595.13,6185.39,8101.45,82641.6,84603.5
28-Mar-2018 22:25:05,0,10.8511,3536.79,6346.07,4256.44,5845.88,78153.4,18715.6
31-Mar-2018 15:24:37,0,9.70021,3195.4,5574.17,4629.66,5627.22,86399.2,25941.9
28-Mar-2018 22:17:20,565.078,504.657,3908.61,6191.03,43348.3,28695.9,2259,1675.96
21-Feb-2018 07:42:45,365.073,268.153,3287.47,5550.49,11321.7,16494.2,84022.3,3417.27
22-Feb-2018 08:42:56,1133.69,1186.38,3352.24,5754.36,3800.75,4998.62,75740.9,72952.9
22-Feb-2018 21:03:46,1.23308,0,0,0,0,0,0.411026,1.02756
31-Mar-2018 16:54:13,985.64,1027.15,3323.14,5397.75,54341,51150.2,82418,80485.8
22-Feb-2018 13:53:08,456.978,305.803,40.9382,0,48532.5,47609.7,2321.47,875.69
27-Mar-2018 15:55:44,1081.16,1097.11,3349.61,5695.42,54439.1,43663.8,86589.1,86994.8
21-Feb-2018 19:30:59,0.739846,0,0.16441,0.657641,0,0,0,0
31-Mar-2018 22:19:23,0,10.9333,3371.64,5795.71,3687.04,5071.92,79185.1,9951.75
31-Mar-2018 11:35:15,938.454,995.833,3125.03,5481.44,52993.1,52843,80976.2,80910.8
31-Mar-2018 00:59:10,0.328821,0.822051,0,0,0,0,0,0
21-Feb-2018 23:09:46,1189.18,1229.05,3266.17,5306.42,18080.5,29950.8,85433.5,83306.3
31-Mar-2018 12:48:37,401.49,269.715,3342.62,5719.26,38706.7,32362.8,72591,1123.54
28-Mar-2018 11:08:28,821.722,883.048,3383.23,5689.01,52181.5,51434.5,87830.2,56445.9
22-Feb-2018 04:51:25,1104.92,1172.08,3318.29,5359.86,4440.31,5661.47,86982.5,86089.1
29-Mar-2018 12:09:29,1160.82,1244.17,3319.61,5504.13,3971.06,5271.27,85007.1,81254.6
27-Mar-2018 06:15:21,1038.83,1122.35,3234.2,5348.51,52054.9,50364.2,82011.3,83569.5
